id,source,url,brand,name,category,is_ai,is_available,price,price_segment,cpu_brand,cpu_family,gpu_type,gpu_model,ram_gb,ram_type,storage_gb,storage_type,screen_size_inches,screen_res,screen_hz,os_family,weight_kg,battery_wh,avg_rating,review_count,satisfied_count
anphat_laptop-hp-victus-16-r0224tx-9q975pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-victus-16-r0224tx-9q975pa.html,HP,Laptop HP VICTUS 16-r0224TX 9Q975PA (Intel Core i7-13700H | RTX 4060 8GB GDDR6 | 16.1 inch FHD | 32GB | 512GB | Windows 11 Home | Đen),Gaming,False,True,34490000,Mid-high,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,2.31,70.0,0.0,0,2730
anphat_laptop-lenovo-thinkpad-e14-gen-7-21sx002tva,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx002tva.html,Lenovo,Laptop Lenovo ThinkPad E14 Gen 7 21SX002TVA (Intel Core Ultra 7 255H | 16GB | 1TB | Intel Arc 140T | 14 inch WUXGA 60Hz | NoOS | Đen),Office,True,True,28390000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.34,48.0,0.0,0,11997
anphat_laptop-asus-rog-strix-g16-g615lw-s5135w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g16-g615lw-s5135w.html,Asus,Laptop ASUS ROG Strix G16 G615LW-S5135W (Intel Core Ultra 9 275HX | RTX 5080 16GB | 16 inch 2.5K 240Hz | 32GB | 1TB | Win 11 | Xám),Gaming,True,True,69900000,Premium,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.65,90.0,0.0,0,3025
anphat_laptop-acer-nitro-v-anv15-41-r1jy-nh.qpfsv.001,An Phat PC,https://www.anphatpc.com.vn/laptop-acer-nitro-v-anv15-41-r1jy-nh.qpfsv.001.html,Acer,Laptop ACER Nitro V ANV15-41-R1JY NH.QPFSV.001 (Ryzen 5-6600H | RTX3050 | 15.6 inch FHD | 16GB | 512GB | Win 11 Home | Đen),Gaming,False,True,20490000,Mainstream,AMD,AMD Ryzen,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,2.1,57.0,0.0,0,4548
anphat_laptop-acer-aspire-7-a715-76-728x-nh.qgesv.008,An Phat PC,https://www.anphatpc.com.vn/laptop-acer-aspire-7-a715-76-728x-nh.qgesv.008.html,Acer,Laptop Acer Aspire 7 A715-76-728X NH.QGESV.008 (Intel Core i7-12650H | 16GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Đen),Office,False,True,15990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,2.1,50.0,0.0,0,17023
anphat_laptop-dell-inspiron-14-5441-71069158,An Phat PC,https://www.anphatpc.com.vn/laptop-dell-inspiron-14-5441-71069158.html,Dell,Laptop Dell Inspiron 14 5441 71069158 (Snapdragon X X1-26-100 | 16GB | 512GB | Qualcomm Adreno | 14 inch FHD IPS | Win 11 | Office | Xám),Office,True,True,24590000,Mainstream,Qualcomm,Snapdragon (ARM),Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.53,54.0,0.0,0,2727
anphat_laptop-hp-elitebook-630-g10-9j0b5pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-elitebook-630-g10-9j0b5pt.html,HP,Laptop HP Elitebook 630 G10 9J0B5PT (Intel Core i5-1335U | 16GB | 512GB | Intel UHD Graphics | 13.3 inch FHD | Win 11 Home | Bạc),Office,False,True,22490000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.22,42.0,0.0,1,11607
anphat_laptop-hp-14-ep1007tu-9z2w1pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-14-ep1007tu-9z2w1pa.html,HP,Laptop HP 14-ep1007TU 9Z2W1PA (Intel Core 7 150U | 16GB | 512GB | Intel Graphics | 14 inch FHD | Win 11 | Bạc),Office,False,True,23990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,,41.0,0.0,0,4423
anphat_laptop-lenovo-thinkpad-e14-gen-6-t-21m7004jvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-e14-gen-6-t-21m7004jvn.html,Lenovo,Laptop Lenovo ThinkPad E14 Gen 6 T 21M7004JVN (Intel Core Ultra 5 125U | 16GB | 512GB | 14 inch WUXGA | Win 11 | Đen),Office,True,True,22490000,Mainstream,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.44,47.0,0.0,0,3846
anphat_laptop-asus-vivobook-s14-m3407ka-sf034ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-vivobook-s14-m3407ka-sf034ws.html,Asus,Laptop Asus Vivobook S14 M3407KA-SF034WS (AMD Ryzen AI 5 330 | 16GB | 512GB | AMD Radeon | 14 inch WUXGA OLED | Win 11 | Office | Bạc),Office,True,True,22990000,Mainstream,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,70.0,0.0,0,6174
anphat_laptop-hp-omnibook-5-flip-14-fp0057tu-bz7q6pa,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-flip-14-fp0057tu-bz7q6pa.html,HP,Laptop HP OmniBook 5 Flip 14-fp0057TU BZ7Q6PA (Intel Core 5 120U | 16GD5 | 512GSSD | 14.0_WUXGA IPS 300n | WL/BT | W11SL | Bạc),Office,False,True,24990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.62,68.0,0.0,0,3313
anphat_laptop-hp-probook-4-g1i-16-bq5d4pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-probook-4-g1i-16-bq5d4pt.html,HP,Laptop HP Probook 4 G1i 16 BQ5D4PT (Intel Core Ultra 5 225U | Integrated Intel Graphics | 16 inch WUXGA | 16GB | 512GB | Windows 11 Home SL | Bạc),Office,True,True,25290000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,Other,Windows,1.74,56.0,0.0,0,3621
anphat_laptop-asus-expertbook-p3605cva-pl0042w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-expertbook-p3605cva-pl0042w.html,Asus,Laptop ASUS ExpertBook P3605CVA-PL0042W (Intel Core i5-13420H | 16GB | 512GB | 16 inch WQXGA | Intel UHD | Windows 11 Home | Xám),Office,False,True,20490000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,60 - 90,Windows,1.75,63.0,0.0,0,13239
anphat_laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws.html,Asus,Laptop Asus Vivobook S 14 OLED M5406WA-PP071WS (AMD Ryzen AI 9 HX 370 | 32GB | 1TB | AMD Radeon | 14 inch 3K OLED 120Hz | Win 11 | Bạc),Office,True,True,29990000,Mid-high,AMD,AMD Ryzen AI,Integrated,AMD Radeon,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.3,75.0,0.0,0,21596
anphat_laptop-asus-vivobook-s-16-s5606ca-ri114ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-vivobook-s-16-s5606ca-ri114ws.html,Asus,Laptop ASUS Vivobook S 16 S5606CA-RI114WS (Intel Core Ultra 5 225H | 16GB | 512GB | Intel Arc | 16 inch 3K OLED | Win 11 | Office | Xanh),Office,True,True,24499000,Mainstream,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.5,75.0,0.0,1,11614
anphat_laptop-asus-rog-zephyrus-g14-ga403wr-qs156ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-rog-zephyrus-g14-ga403wr-qs156ws.html,Asus,Laptop ASUS ROG Zephyrus G14 GA403WR-QS156WS (AMD Ryzen AI 9 HX 370 | 32GB | 1TB | 14 inch 3K OLED | RTX 5070Ti 12GB | Windows 11 Home + Office | Xám),Gaming,True,True,64990000,Premium,AMD,AMD Ryzen AI,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.57,73.0,0.0,0,4170
anphat_laptop-hp-probook-4-g1i-16-bq5e4pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-probook-4-g1i-16-bq5e4pt.html,HP,Laptop HP Probook 4 G1i 16 BQ5E4PT (Intel Core Ultra 7 255H | Integrated Intel Arc Graphics | 16 inch WUXGA | 16GB | 512GB | Windows 11 Home SL | Bạc),Office,True,True,29490000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,Other,Windows,1.74,56.0,0.0,0,3505
anphat_laptop-lenovo-thinkpad-t14-gen-3-21ahs01g00,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-t14-gen-3-21ahs01g00.html,Lenovo,Laptop Lenovo ThinkPad T14 Gen 3 21AHS01G00 (Intel Core i5-1235U | 8GB | 256GB | Intel Iris Xe | 14 inch WUXGA IPS | NoOS | Đen),Office,False,True,15990000,Mainstream,Intel,Intel Core,Integrated,Intel Arc / Integrated,8.0,DDR4 / LPDDR4,256.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.21,39.3,0.0,0,9429
anphat_laptop-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21ns010cvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21ns010cvn.html,Lenovo,Laptop Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition 21NS010CVN (Intel Core Ultra 7 258V | Intel Arc | 14 inch 2.8K OLED | 132GB | 1TB | Win 11 Pro | Đen),Office,True,True,62990000,Premium,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,Other,Other,Other,Windows,0.99,57.0,0.0,0,314
anphat_laptop-msi-stealth-a16-ai-a3xwhg085vn,An Phat PC,https://www.anphatpc.com.vn/laptop-msi-stealth-a16-ai-a3xwhg085vn.html,MSI,Laptop MSI Stealth A16 AI+ A3XWHG085VN (AMD Ryzen AI 9 HX 370 | RTX 5070 Ti 12GB GDDR7 | 16 inch QHD+ OLED | 32GB | 1TB | Fingerprint | Windows 11 Home SEA | Đen),Gaming,True,True,59990000,Premium,AMD,AMD Ryzen AI,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.1,99.9,0.0,4,3005
anphat_laptop-lenovo-thinkpad-x9-15-gen-1-21q60054vn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-x9-15-gen-1-21q60054vn.html,Lenovo,Laptop LENOVO ThinkPad X9-15 Gen 1 21Q60054VN (Intel Core Ultra 7 258V | 32GB | 1TB | Intel Arc | 15.3 inch 2.8K OLED | Win 11 Pro | Xám),Office,True,True,50750000,Premium,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.4,80.0,0.0,0,1224
anphat_laptop-asus-rog-flow-z13-gz302eac-ru184ws,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-rog-flow-z13-gz302eac-ru184ws.html,Asus,Laptop ASUS ROG Flow Z13 GZ302EAC-RU184WS (AMD Ryzen AI MAX+ 395 Processor 3.0GHz | 13.4 inch 2.5K IPS | Cảm ứng | 128GB | 1TB | Win 11 | Office),Gaming,True,True,107900000,Premium,AMD,AMD Ryzen AI,Integrated,AMD Radeon,,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,240+,Windows,1.72,70.0,0.0,0,187
anphat_laptop-hp-probook-4-g1i-bq5b2pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-probook-4-g1i-bq5b2pt.html,HP,Laptop HP ProBook 4 G1i -BQ5B2PT (Core Ultra 5 225U | 8GB | 512GB | Intel Graphics | 14 inch WUXGA | Win 11 | Bạc),Office,True,True,22690000,Mainstream,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,8.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,56.0,0.0,0,1924
anphat_laptop-dell-pro-14-essential-pv14250-pv14250-150u-161tbw,An Phat PC,https://www.anphatpc.com.vn/laptop-dell-pro-14-essential-pv14250-pv14250-150u-161tbw.html,Dell,"Laptop Dell Pro 14 Essential PV14250- PV14250-150U-161TBW (Core 7 150U | 16GB | 1TB SSD | 14"" (1920x1200) |  4 Cells | Win 11 | 2Y Warranty Prosupport)",Office,False,True,26490000,Mid-high,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.56,,0.0,0,5173
anphat_laptop-lenovo-thinkpad-x13-gen-6-21rk00aqva,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-x13-gen-6-21rk00aqva.html,Lenovo,Laptop Lenovo ThinkPad X13 Gen 6 21RK00AQVA (Intel Core Ultra 7 255H | Intel Arc | 13.3 inch WUXGA IPS | 16GB | 512GB | NoOS | Đen),Office,True,True,35630000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,Other,Windows,0.93,41.0,0.0,0,3439
anphat_laptop-lenovo-thinkpad-t14s-gen-5-21ls005uva,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-thinkpad-t14s-gen-5-21ls005uva.html,Lenovo,Laptop Lenovo ThinkPad T14s Gen 5 21LS005UVA (Intel Core Ultra 7 155U | 16GB | 1TB | 14 inch WUXGA | NOOS | Đen),Office,True,True,33990000,Mid-high,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.24,58.0,0.0,0,11514
anphat_laptop-hp-probook-440-g11-a74b9pt,An Phat PC,https://www.anphatpc.com.vn/laptop-hp-probook-440-g11-a74b9pt.html,HP,Laptop HP ProBook 440 G11 A74B9PT (Intel Core Ultra 5 125H | 16GB | 512GB | Intel Arc Graphics | 14 inch WUXGA | Cảm ứng | Win 11 | Bạc),Office,True,True,23990000,Mainstream,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,56.0,0.0,0,12434
anphat_laptop-msi-vector-16-hx-ai-a2xwig-062vn,An Phat PC,https://www.anphatpc.com.vn/laptop-msi-vector-16-hx-ai-a2xwig-062vn.html,MSI,Laptop MSI Vector 16 HX AI A2XWIG 062VN (Intel Core Ultra 9 275HX | RTX 5080 | 16 inch QHD+ IPS 240Hz |16GB | 1TB |  Win 11 | Đen),Gaming,True,True,69990000,Premium,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.7,90.0,0.0,0,12658
anphat_laptop-asus-rog-strix-g16-g614ji-n4125w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-rog-strix-g16-g614ji-n4125w.html,Asus,Laptop Asus ROG Strix G16 G614JI-N4125W (Intel Core i7-13650HX | RTX 4070 8GB | 32 inch QHD+ 240Hz | 16 GB | 512GB | Win 11 | Xám),Gaming,False,True,43990000,Mid-high,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.5,90.0,0.0,0,3801
anphat_laptop-lenovo-ideapad-slim-5-14akp10-83hx00abvn,An Phat PC,https://www.anphatpc.com.vn/laptop-lenovo-ideapad-slim-5-14akp10-83hx00abvn.html,Lenovo,Laptop Lenovo IdeaPad Slim 5 14AKP10 83HX00ABVN (AMD Ryzen AI 5 330 | AMD Radeon | 14 inch WUXGA OLED | 16GB | 512GB | Win 11 | Xám),Office,True,True,22990000,Mainstream,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,60.0,0.0,0,8670
anphat_laptop-asus-gaming-v16-v3607vm-rp044w,An Phat PC,https://www.anphatpc.com.vn/laptop-asus-gaming-v16-v3607vm-rp044w.html,Asus,Laptop ASUS Gaming V16 V3607VM-RP044W (Intel Core 7 240H | RTX 5060 8GB | 16 inch WUXGA 144Hz | 16GB | 1TB | Win 11 | Đen),Gaming,False,True,33799000,Mid-high,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,1.95,63.0,0.0,0,41028
anphat_laptop-msi-venturepro-16-ai-a1veg-003vn,An Phat PC,https://www.anphatpc.com.vn/laptop-msi-venturepro-16-ai-a1veg-003vn.html,MSI,Laptop MSI VenturePro 16 AI A1VEG-003VN (Intel Core Ultra 7 155H | RTX 4050 6GB | 16 inch 2K OLED 120Hz | 16 GB | 512GB | Win 11 | Xám),Gaming,True,True,32990000,Mid-high,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.9,55.2,0.0,0,1323
